species	1998	1978	2004	2013	2009	2016	2020	2019	2017	2000	2018	2003	2015	2014	2006	2011	2008	2010	2012	1997
Epidendrum montserratense																			CR	
Allium castellanense											VU									
Crocus dalmaticus											LC									
Crocus ilvensis											EN									
Allium maximowiczii						DD														
Gladiolus italicus				LC																
Asphodelus fistulosus				LC																
Allium altyncolicum						LC														
Allium asarense						DD														
Allium atrosanguineum						LC														
Allium galanthum						DD														
Allium karelinii						DD														
Allium ledebourianum						LC														
Allium oliganthum						DD														
Allium oschaninii						DD														
Allium praemixtum						DD														
Allium pskemense						DD														
Allium roylei	E					NT														
Allium scabriscapum						DD														
Allium semenowii						LC														
Allium thunbergii						DD														
Allium weschniakowii						DD														
Asparagus cochinchinensis						DD														
Asparagus dauricus						DD														
Asparagus filicinus						DD														
Asparagus kiusianus						EN														
Asparagus macowanii						LC														
Asparagus oligoclonos						DD														
Asparagus schoberioides						LC														
Epidendrum torraense											DD									
Plocoglottis neohibernica									NT											
Glomera subeciliata														DD						
Dactylorhiza urvilleana											LC									
Vanilla hartii							EN		EN											
Dendrobium melinanthum														LC						
Prasophyllum mimulum														LC						
Oncidium dactyliferum											LC									
Caladenia hastata											CR									
Dendrobium terrestre									LC											
Trichotosia canaliculata											DD									
Habenaria dichopetala											EN									
Pterostylis humilis									LC											
Notylia inversa				DD																
Glomera compressa									LC											
Pseudomuscari coeruleum									NT											
Dendrobium dissitifolium									LC											
Lepanthes prolifera											LC									
Brassia maculata											LC									
Dendrochilum magaense											DD									
Dichaea antioquiensis											DD									
Pedilochilus papuanus														LC						
Glomera uniflora									LC											
Erythrodes amboinensis											DD									
Bulbophyllum impar									DD											
Kuhlhasseltia papuana									DD											
Dendrobium ypsilon											DD									
Porroglossum muscosum									LC											
Malaxis lepanthiflora											LC									
Cycnoches lusiae											DD									
Bulbophyllum patella								NT												
Oxystophyllum tropidoneuron											DD									
Liparis petelotii													LC							
Octarrhena torricellensis									DD											
Allium sieheanum	I										LC									
Liparis miniata									DD											
Bulbophyllum lancilabium											DD									
Habenaria retroflexa														LC						
Habenaria sacculata											DD									
Maxillaria broadwayi									CR											
Pachyplectron arifolium									NT											
Dendrobium densifolium									DD											
Habenaria siamensis											VU									
Masdevallia oreas														NT						
Lepanthes sinuosa											CR									
Lepanthes scopulifera											DD									
Caladenia dimorpha														LC						
Grandiphyllum schunkeanum														CR						
Lepanthes chapina											DD									
Epidendrum paniculatum											DD									
Gongora portentosa											LC									
Pleurothallis elegantula														DD						
Peristylus aristatus											LC									
Oncidium hastilabium											LC									
Dendrobium vesiculosum									LC											
Bulbophyllum woelfliae											EN									
Eremurus bucharicus									LC											
Epidendrum carnevalii											LC									
Ponerorchis curtipes											DD									
Ponerorchis chidorii											VU									
Habenaria wolongensis											LC									
Cheirostylis bidentata									LC											
Pachystoma nutans											DD									
Crepidium kabense											CR									
Catasetum kempfii											VU									
Bulbophyllum leniae									LC											
Bulbophyllum latisepalum									LC											
Macropodanthus membraniferus											CR									
Catasetum tuberculatum											LC									
Aloe wildii	I								LC											
Stelis tenuilabris														LC						
Habenaria pleiophylla														LC						
Eria carinata											LC									
Lepanthes binaria											EN									
Epidendrum ramosum									LC											
Telipogon biolleyi	V													NT						
Lepanthes systole											VU									
Dryadella minuscula											LC									
Dracaena curtisii									NT											
Dryadella cristata											DD									
Phalaenopsis regnieriana											DD									
Specklinia cabellensis											NT									
Dendrobium crassimarginatum											EN									
Brassia wageneri											LC									
Pleurothallis carinifera														LC						
Eurycentrum atroviride														LC						
Ceratostylis anceps											LC									
Dendrochilum tuberculatum											EN									
Warczewiczella ionoleuca											LC									
Tropidia saprophytica														LC						
Epidendrum neudeckeri									EN											
Grosourdya quinquelobata											LC									
Epidendrum capricornu									LC											
Dendrochilum foxworthyi											VU									
Eria deliana											DD									
Eria bidupensis									EN											
Thrixspermum vanoverberghii											DD									
Dendrobium poneroides														LC						
Broughtonia negrilensis											EN									
Allium peroninianum									EN											
Trichotosia mollicaulis											LC									
Bulbophyllum gnomoniferum											CR									
Tropidia septemnervis											DD									
Glomera longa									DD											
Pescatoria russeliana											DD									
Eremurus anisopterus									LC											
Liparis philippinensis											LC									
Corybas gastrosiphon														LC						
Bulbophyllum evrardii											EN									
Dendrobium merrillii											LC									
Habenaria backeri											EN									
Lepanthes pilosa											DD									
Dendrochilum gracile											LC									
Galeottia fimbriata													LC							
Oberonia mindorensis														DD						
Allium caroli-henrici											LC									
Epidendrum tigriphyllum											EN									
Dendrochilum loheri											EN									
Luisia volucris											VU									
Trichoglottis tenuis														EN						
Eremurus robustus									LC											
Glomera latipetala														DD						
Agave ovatifolia											LC									
Taeniophyllum oblongum									DD											
Macradenia paraensis														LC						
Epidendrum syringothyrsus									LC											
Dendrobium ecolle											DD									
Neottia acuminata											LC									
Allium calocephalum											NT									
Lepanthes lancifolia											DD									
Dipodium freycinetioides											DD									
Taeniophyllum borneense											CR									
Platanthera boninensis											EN									
Epidendrum anthoceros									LC											
Epipactis rechingeri											NT									
Prescottia lojana									LC											
Gongora arcuata											VU									
Glomera oligantha														LC						
Vanda tessellata														LC						
Spathoglottis petri									LC											
Sirhookera lanceolata											LC									
Zeuxine odorata											NT									
Pteroceras simondianum														LC						
Platylepis grandiflora									LC											
Habenaria holotricha											EN									
Dracula ripleyana														NT						
Dendrochilum longipedicellatum									VU											
Liparis glaucescens											VU									
Gomesa silvana														EN						
Psychilis olivacea														VU						
Cordyline minutiflora									DD											
Oncidium tenuifolium														LC						
Habenaria leptoloba											EN									
Spiranthes delitescens													EN							
Vanda spathulata														VU						
Peristylus trimenii											EN									
Allium urmiense											DD									
Bulbophyllum polliculosum									DD											
Pleurothallopsis lehmannii											DD									
Sarcoglottis veyretiae														DD						
Octomeria rodeiensis				DD																
Caladenia radialis														LC						
Catasetum rolfeanum											DD									
Trichosalpinx silverstonei											DD									
Brassia lanceana											LC									
Dendrochilum imitator											VU									
Crepidium quadridens									LC											
Yoania japonica											LC									
Ceratostylis resiana									DD											
Masdevallia notosibirica														VU						
Pseudovanilla affinis											EN									
Allium beesianum											LC									
Pleurothallis miniatolineolata														DD						
Lepanthes panope											CR									
Pleurothallis talpinarioides											DD									
Phreatia caudiflora									DD											
Oncidium planilabre											LC									
Stelis stapedia											DD									
Dendrobium kauldorumii									EN											
Corybas carinulifer									DD											
Dendrobium unibulbe									DD											
Brodiaea pallida									EN											
Gongora pseudoatropurpurea											EN									
Epidendrum dorsocarinatum									DD											
Oreorchis oligantha											LC									
Eria parviflora														DD						
Gongora catilligera											DD									
Calanthe ecallosa											EN									
Aloe mahraensis									DD											
Malaxis insperata											DD									
Pennilabium angraecum											LC									
Agave guiengola								EN												
Oberonia irrorata									DD											
Huntleya vargasii				NT																
Bulbophyllum globulosum				DD							DD									
Masdevallia atahualpa				EN																
Lepanthes applanata				DD																
Brachionidium diaphanum				VU																
Cypripedium acaule														LC						
Cypripedium arietinum	R													NT						
Cypripedium bardolphianum														VU						
Cypripedium calcicola			CR											EN						
Cypripedium californicum														EN						
Cypripedium candidum														VU						
Cypripedium cordigerum														VU						
Cypripedium debile														VU						
Cypripedium dickinsonianum	R													EN						
Cypripedium elegans														EN						
Cypripedium fasciculatum														VU						
Cypripedium flavum														VU						
Cypripedium forrestii														EN						
Cypripedium himalaicum														EN						
Cypripedium irapeanum	I													VU						
Cypripedium ludlowii														EN						
Cypripedium macranthos														LC						
Cypripedium micranthum														EN						
Cypripedium molle														NT						
Cypripedium montanum														VU						
Cypripedium palangshanense														VU						
Cypripedium parviflorum														LC						
Cypripedium passerinum														VU						
Cypripedium plectrochilum														VU						
Cypripedium reginae														LC						
Cypripedium segawae														CR						
Cypripedium shanxiense														NT						
Cypripedium sichuanense														EN						
Cypripedium singchii														EN						
Cypripedium taibaiense														CR						
Cypripedium tibeticum														LC						
Cypripedium wardii														EN						
Cypripedium yatabeanum	V													NT						
Mexipedium xerophyticum	R					CR														
Paphiopedilum acmodontum													EN							
Paphiopedilum appletonianum													EN							
Paphiopedilum areeanum													EN							
Paphiopedilum argus													EN							
Paphiopedilum barbatum													EN							
Paphiopedilum bougainvilleanum	V												CR							
Paphiopedilum bullenianum													EN							
Paphiopedilum concolor													EN							
Paphiopedilum cornuatum													CR							
Paphiopedilum dayanum	E												CR							
Paphiopedilum exul	E												CR							
Paphiopedilum fairrieanum	E												CR							
Paphiopedilum gigantifolium													CR							
Paphiopedilum glanduliferum													EN							
Paphiopedilum glaucophyllum	E												EN							
Paphiopedilum godefroyae	R												EN							
Paphiopedilum guangdongense													CR							
Paphiopedilum haynaldianum													EN							
Paphiopedilum hennisianum													EN							
Paphiopedilum hirsutissimum	R												VU							
Paphiopedilum hookerae													EN							
Paphiopedilum inamorii													CR							
Paphiopedilum insigne													EN							
Paphiopedilum intaniae													CR							
Paphiopedilum javanicum	E												EN							
Paphiopedilum kolopakingii	V												CR							
Paphiopedilum lawrenceanum													CR							
Paphiopedilum liemianum	V												CR							
Paphiopedilum lowii													EN							
Paphiopedilum mastersianum	R			EN																
Paphiopedilum niveum	I												EN							
Paphiopedilum ooii													CR							
Paphiopedilum papuanum													EN							
Paphiopedilum parnatanum													CR							
Paphiopedilum philippinense	I												NT							
Paphiopedilum platyphyllum													CR							
Paphiopedilum primulinum	I												CR							
Paphiopedilum qingyongii													CR							
Paphiopedilum randsii	I												EN							
Paphiopedilum rothschildianum	E												CR							
Paphiopedilum sanderianum	E												CR							
Paphiopedilum sangii													CR							
Paphiopedilum schoseri													CR							
Paphiopedilum stonei	E												CR							
Paphiopedilum sugiyamanum													CR							
Paphiopedilum supardii													CR							
Paphiopedilum superbiens	I												EN							
Paphiopedilum thaianum													CR							
Paphiopedilum tonsum	E												EN							
Paphiopedilum victoria-mariae													CR							
Paphiopedilum victoria-regina	R												CR							
Paphiopedilum vietnamense													CR							
Paphiopedilum violascens													EN							
Paphiopedilum wentworthianum	V												CR							
Paphiopedilum wilhelminae													EN							
Phragmipedium andreettae						CR														
Phragmipedium besseae	V					EN														
Phragmipedium boissierianum						LC														
Phragmipedium brasiliense						DD														
Phragmipedium caricinum						NT														
Phragmipedium caudatum						EN														
Phragmipedium christiansenianum						CR														
Phragmipedium exstaminodium	E					CR														
Phragmipedium fischeri						CR														
Phragmipedium hartwegii						EN														
Phragmipedium hirtzii						EN														
Phragmipedium humboldtii						VU														
Phragmipedium klotzschianum						EN														
Phragmipedium kovachii						CR														
Phragmipedium lindenii				LC																
Phragmipedium lindleyanum	R					VU														
Phragmipedium longifolium						LC														
Phragmipedium manzurii						CR														
Phragmipedium pearcei						LC														
Phragmipedium reticulatum						VU														
Phragmipedium richteri						CR														
Phragmipedium sargentianum						EN														
Phragmipedium schlimii						EN														
Phragmipedium tetzlaffianum						CR														
Phragmipedium vittatum														LC						
Phragmipedium warszewiczianum						VU														
Selenipedium aequinoctiale						EN														
Selenipedium chica	I					EN														
Selenipedium isabelianum						EN														
Selenipedium palmifolium						NT														
Selenipedium steyermarkii						EN														
Romulea insularis											CR									
Habenaria socotrana				LC																
Bulbophyllum renkinianum				LC																
Acianthera chrysantha				LC																
Ansellia africana				VU																
Erythrorchis altissima				LC																
Dendrobium aloifolium				LC																
Cyclopogon longibracteatus				LC																
Sauroglossum nitidum				LC																
Dracula ligiae				DD																
Anathallis comayaguensis				NT																
Disa extinctoria														NT						
Erythrodes blumei				LC																
Chlorophytum recurvifolium				LC																
Habenaria christianii				DD																
Claderia viridiflora				LC																
Bulbophyllum macranthum				LC																
Platystele minimiflora				LC																
Restrepia trichoglossa				LC																
Masdevallia apparitio				CR																
Brachionidium dressleri				EN																
Tainia hongkongensis				LC																
Pelexia goyazensis				NT																
Leochilus leochilinus				LC																
Cynorkis peyrotii				LC																
Masdevallia gargantua				DD																
Cymbidium chloranthum				DD																
Polystachya modesta				LC																
Elleanthus oliganthus				LC																
Pomatocalpa maculosum				LC																
Geissorhiza schinzii				LC																
Anathallis tigridens				EN																
Prasophyllum giganteum				LC																
Pinalia szetschuanica														LC						
Sobennikoffia poissoniana				VU							EN									
Lepanthes mucronata				LC																
Acianthera scalpricaulis				LC																
Dendrobium sarcodes				DD																
Masdevallia strumifera				LC																
Helonoma bifida				LC																
Bulbophyllum leopardinum				LC																
Bulbophyllum breviflorum				NT																
Caladenia catenata				LC																
Oncidium lancifolium				LC																
Diuris byronensis				CR																
Eremurus kopet-daghensis				DD																
Epidendrum proligerum				LC																
Gladiolus patersoniae				LC																
Acianthera variegata				EN																
Cymbidium tracyanum														LC						
Geodorum recurvum				LC																
Chlorophytum cameronii				LC					LC											
Bulbophyllum delitescens				LC																
Trichopilia marginata				LC																
Androcorys oxysepalus				VU																
Bulbine favosa				LC																
Habenaria kornasiana				VU																
Trichopilia turialbae				LC																
Oeonia brauniana				LC							VU									
Telipogon alexii				VU																
Anathallis minutalis				LC																
Ceratostylis micrantha				NT																
Angraecum aloifolium				DD							DD									
Caladenia citrina				LC																
Aloe kefaensis				EN																
Ceratostylis scariosa				DD																
Sobralia stenophylla				LC																
Epidendrum oerstedii				LC																
Mormolyca hedwigiae				LC																
Habenaria supplicans				LC																
Pterostylis mutica				LC																
Anathallis guimaraensii				VU																
Appendicula fasciculata				DD																
Dendrobium lancifolium				LC																
Zygopetalum crinitum				LC																
Allium chinense				LC																
Cleistes ionoglossa				LC																
Appendicula tenuispica				NT																
Thelymitra cyanea				LC																
Agrostophyllum laterale				VU																
Lankesterella gnomus				NT																
Platanthera tipuloides				LC																
Acianthera violacea				LC																
Maxillaria angustisegmenta				LC																
Acianthera hondurensis														LC						
Catasetum barbatum				LC																
Phaius corymbioides				LC																
Barkeria naevosa													LC							
Appendicula longirostrata				LC																
Lepanthes lindleyana				LC																
Coelogyne foerstermannii				LC																
Appendicula calcarata														LC						
Habenaria jaguariahyvae				DD																
Dracaena rubroaurantiaca				DD																
Platythelys paranaensis				VU																
Epidendrum diothonaeoides				VU																
Cyrtopodium brandonianum				LC																
Pelexia sceptrum				DD																
Habenaria dusenii				LC																
Bulbophyllum fritillariiflorum				LC																
Dinklageella scandens				VU			EN													
Pelexia orthosepala				LC																
Catasetum globiflorum				DD																
Babiana striata														LC						
Cynorkis crispa				DD																
Bulbophyllum restrepia				LC																
Eriospermum mackenii				LC																
Palmorchis trilobulata				LC																
Agrostophyllum cyathiforme				LC																
Dendrobium bensoniae				LC																
Dendrobium litorale				LC																
Octomeria taracuana				LC																
Mastigostyla shepardiae				LC																
Oeceoclades maculata				LC																
Malaxis brachystachys				LC																
Epidendrum criniferum				LC																
Benthamia cinnabarina				NT																
Dendrobium incurvum				LC																
Chlorophytum viscosum				LC																
Dracaena afromontana				LC																
Anoectochilus koshunensis				DD																
Dendrobium hornei				DD																
Phreatia alpina				DD																
Cheirostylis notialis														VU						
Corybas dienemus				CR																
Pholidota camelostalix				LC																
Podochilus khasianus				LC																
Amitostigma parciflorum				DD																
Bulbophyllum multiflorum								VU						LC						
Aloe ketabrowniorum				EN																
Angraecum coutrixii				EN							EN									
Scaphyglottis sickii				LC																
Caladenia cracens				LC																
Babiana scabrifolia														LC						
Bulbophyllum sanderianum				VU																
Eulophia parilamellata				DD																
Acianthera tokachii				VU																
Gomesa sessilis				LC																
Echeandia parviflora				LC																
Orleanesia amazonica				LC																
Brodiaea minor														LC						
Campylocentrum tyrridion														LC						
Sarcochilus falcatus				LC																
Trichoglottis smithii				LC																
Polystachya testuana				NT																
Caladenia dundasiae				VU																
Ligeophila stigmatoptera				LC																
Caladenia incensa				LC																
Coelogyne rigida				LC																
Habenaria armatissima				LC																
Stelis magdalenae				LC																
Bulbophyllum zaratananae				CR							EN									
Stelis itatiayae				NT																
Caladenia mesocera				LC																
Plocoglottis borneensis														LC						
Ornithidium nubigenum				LC																
Drimia uniflora				LC																
Babiana sinuata														LC						
Malaxis javesiae													LC							
Acianthera bicarinata				DD																
Caladenia radiata				LC																
Cyrtochilum halteratum				LC																
Eulophia katangensis				LC																
Bulbophyllum lizae				LC							EN									
Freesia corymbosa				LC																
Aeranthes carnosa				VU							DD									
Mastigostyla orurensis				CR																
Corycium flanaganii				LC																
Stelis immersa				LC																
Lepanthes erythrocles				DD																
Bulbophyllum amblyacron				DD																
Kraenzlinella gigantea				DD																
Aloe zebrina				LC																
Chlorophytum subpetiolatum				LC																
Bulbophyllum aspersum				DD																
Acianthera compressicaulis				EN																
Platycoryne mediocris				LC																
Bulbophyllum regnellii				LC																
Eurycentrum obscurum				LC																
Tolumnia guibertiana				LC																
Jumellea anjouanensis				EN																
Specklinia picta				LC																
Chlorophytum limosum				LC																
Huntleya burtii				LC																
Brachionidium pteroglossum				CR																
Eulophia speciosa				LC																
Bulbophyllum encephalodes				LC																
Skeptrostachys arechavaletanii				LC																
Altensteinia longispicata				VU																
Hetaeria heterosepala				LC																
Angraecum tenellum				DD																
Acianthera malachantha				VU																
Pterostylis hispidula				LC																
Cheirostylis orobanchoides				LC																
Epidendrum microphyllum				LC																
Specklinia corniculata				LC																
Caladenia brownii				LC																
Lemurella virescens				NT							VU									
Specklinia brighamii				LC																
Bulbophyllum ischnopus				LC																
Allium fasciculatum				LC																
Calydorea crocoides				LC																
Zeuxine amboinensis				LC																
Bulbophyllum coweniorum				DD																
Bryobium eriaeoides				LC																
Eulophia fernandeziana				EN																
Bulbophyllum hamelinii				NT							VU									
Prasophyllum favonium				CR																
Appendicula negrosiana				DD																
Bulbophyllum radicans				LC																
Brachionidium phalangiferum				LC																
Taeniophyllum gracillimum				LC																
Liparis swenssonii				LC																
Campylocentrum spannagelii				DD																
Acianthera saundersiana				LC																
Calanthe albolutea				DD																
Phalaenopsis violacea				VU																
Pterostylis praetermissa														LC						
Phreatia plantaginifolia				LC																
Chlorophytum hysteranthum				LC																
Anathallis kleinii				CR																
Inti chartacifolia				LC																
Benthamia monophylla				NT							NT			NT						
Albuca yerburyi				VU																
Physoceras boryanum				EN																
Mormodes auriculata				DD																
Appendicula polyantha				DD																
Anguloa cliftonii				CR																
Dendrobium lewisiae				LC																
Dierama latifolium				LC																
Agave lechuguilla				LC				LC												
Aeranthes tropophila				VU							EN									
Disa erubescens				LC																
Spiranthes casei				LC																
Habenaria virens													LC							
Vanda hindsii				LC																
Stelis ruprechtiana				LC																
Caliphruria hartwegiana				EN																
Epidendrum gentryi	V												LC							
Mastigostyla candaravensis				DD																
Barbosella geminata	V													NT						
Calydorea luteola				DD																
Caladenia splendens				LC																
Pholidota chinensis				NT																
Allium colchicifolium				LC																
Lueddemannia pescatorei				LC																
Phreatia constricta				LC																
Gonatostylis vieillardii				NT			LC													
Encyclia spatella													LC							
Brassia verrucosa				LC																
Trichoglottis winkleri				LC																
Bulbophyllum minutissimum				LC																
Habenaria monorrhiza				LC																
Bipinnula polysyka														DD						
Cymbidiella falcigera														LC						
Stelis tabacina				VU																
Bulbophyllum stabile				DD																
Bromheadia finlaysoniana				LC																
Disa katangensis				LC							DD									
Epidendrum geminiflorum				LC																
Angraecum penzigianum											NT			NT						
Plocoglottis copelandii				LC																
Dracula antonii				DD																
Pityphyllum pinoides				EN																
Pleurothallis rowleei				LC																
Dracaena camerooniana				LC																
Crinum firmifolium									LC					LC						
Bulbophyllum falcifolium				DD																
Pterostylis squamata				LC																
Mormolyca acutifolia				LC																
Dendrobium isochiloides				DD																
Angraecum pinifolium				CR							EN									
Brachionidium meridense				EN																
Pholidota globosa				LC																
Didymoplexis africana														LC						
Habenaria parviflora				LC																
Chlorophytum tuberosum				LC																
Pterostylis acuminata				LC																
Brachionidium capillare				VU																
Bulbophyllum atrosanguineum				VU																
Bulbophyllum betchei				LC																
Disa thodei				LC																
Dracaena cerasifera				LC																
Habenaria glazioviana				LC																
Bletia ensifolia													LC							
Disa walleri				LC																
Echeandia flavescens				LC																
Pterostylis erecta				LC																
Eriospermum andongense				LC																
Allium mongolicum				LC																
Pinalia fitzalanii				LC																
Thelymitra papuana				LC																
Bhutanthera albosanguinea									DD											
Bhutanthera albovirens									DD											
Bhutanthera himalayana									LC											
Bulbophyllum leopardinum var. tuberculatum									CR											
Cheirostylis sherriffii									CR											
Eulophia stenopetala									EX											
Hetaeria pelota									LC											
Oreorchis sanguinea									CR											
Pomatocalpa bhutanicum									DD											
Acis valentina											EN									
Narcissus munozii-garmendiae											NT									
Chlorophytum rhizopendulum				CR																
Aloe mubendiensis				LC																
Aloe tororoana				VU																
Polystachya maculata									CR											
Cypripedium froschii														CR						
Chlorophytum borivilianum													CR							
Malaxis muscifera													VU							
Aerangis macrocentra						NT														
Angraecum compactum						LC														
Brachycorythis disoides						VU														
Bulbophyllum bicoloratum						LC														
Calanthe madagascariensis						LC														
Cynorkis gigas						LC														
Cyrtanthus flavus														VU						
Gethyllis britteniana														LC						
Geissorhiza lithicola	R													VU						
Gladiolus oppositiflorus														LC						
Narcissus jacquemoudii											EN									
Dendrobium neglectum									DD											
Encyclia osmantha											LC									
Agave caymanensis														EN						
Dendrophylax fawcettii	V													CR						
Encyclia kingsii	E													CR						
Myrmecophila thomsoniana														EN						
Myrmecophila thomsoniana var. minor														EN						
Myrmecophila thomsoniana var. thomsoniana														EN						
Narcissus eugeniae											LC									
Narcissus hedraeanthus											LC									
Narcissus segurensis											VU									
Narcissus yepesii											VU									
Epipactis cretica											EN									
Iris falcata									DD											
Liparis puncticulata								VU												
Palmorchis imuyaensis						LC														
Pleurothallis caymanensis														NT						
Encyclia phoenicea														LC						
Tolumnia variegata														LC						
Cymbidiella pardalina								EN												
Eulophiella galbana											VU									
Strumaria chaplinii														EN						
Bulbinella eburniflora														VU						
Babiana salteri	R													VU						
Dierama nixonianum									VU											
Geissorhiza outeniquensis	R													NT						
Disa bodkinii	R													LC						
Basiphyllaea corallicola													LC							
Calopogon multiflorus						LC							LC							
Corallorhiza bentleyi													VU							
Galeandra bicarinata													EN							
Hexalectris revoluta													CR							
Hexalectris warnockii													EN							
Isotria medeoloides													VU							
Malaxis bayardii													CR							
Malaxis wendtii													NT							
Oncidium ensatum													LC							
Platanthera yadonii													VU							
Platanthera chapmanii													VU							
Peristylus holochila													CR							
Platanthera integrilabia													NT							
Platanthera leucophaea													LC							
Platanthera yosemitensis													EN							
Platanthera zothecina													DD							
Eulophia ecristata													DD							
Spiranthes torta													LC							
Spiranthes brevilabris													EN							
Spiranthes diluvialis													LC							
Spiranthes infernalis													NT							
Spiranthes parksii													VU							
Triphora craigheadii													EN							
Triphora amazonica													DD							
Triphora yucatanensis													EN							
Allium geyeri						LC														
Arethusa bulbosa									LC											
Calopogon tuberosus									LC											
Epipactis gigantea									LC											
Iris brevicaulis						LC														
Iris missouriensis						LC														
Iris prismatica						LC														
Iris versicolor						LC														
Iris virginica						LC														
Platanthera blephariglottis									LC											
Platanthera chorisiana									LC											
Platanthera clavellata									LC											
Platanthera huronensis									LC											
Pogonia ophioglossoides									LC											
Aerangis seegeri								VU												
Aeranthes schlechteri								VU					VU							
Bulbophyllum debile								EN												
Aeranthes moratii													DD							
Cynorkis lindleyana													LC							
Cynorkis gymnochiloides													EN							
Angraecum setipes								VU					EN							
Cynorkis stolonifera													EN							
Angraecum dendrobiopsis								VU												
Cynorkis perrieri													EN							
Cryptopus brachiatus													EN							
Disperis majungensis													EN							
Gastrorchis tuberculosa													EN							
Cryptopus paniculatus								EN												
Cynorkis aphylla													EN							
Disperis masoalensis													EN							
Tylostigma nigrescens									EN											
Disperis erucifera													EN							
Disperis lanceolata													EN							
Eulophia reticulata													LC							
Cynorkis aurantiaca								EN												
Eulophia filifolia											EN									
Tylostigma hildebrandtii									EN											
Eulophia ramosa													LC							
Liparis henrici								VU												
Angraecum sambiranoense													EN							
Cynorkis tenerrima									EN											
Angraecum pseudodidieri								EN												
Aeranthes polyanthemus								EN												
Liparis bulbophylloides								VU												
Cynorkis zaratananae													EN							
Cynorkis gibbosa													LC							
Cynorkis elata											EN									
Cynorkis sambiranoensis													EN							
Liparis ambohimangana								EN												
Jumellea stenophylla								LC												
Cyclopogon werffii													CR							
Goodyera perrieri													CR							
Liparis longicaulis								VU												
Goodyera flaccida													CR							
Cynorkis cuneilabia													EN							
Cynorkis formosa													CR							
Bulbophyllum ceriodorum													CR							
Cynorkis globifera													CR							
Tylostigma filiforme									CR											
Tylostigma herminioides									CR											
Cynorkis marojejyensis									CR											
Tylostigma madagascariense									CR											
Cynorkis monadenia													CR							
Liparis longipetala								LC												
Cynorkis sacculata													CR							
Cynorkis sagittata													CR							
Cynorkis tristis													CR							
Cynorkis humbertii													CR							
Grammangis spectabilis													CR							
Cynorkis rolfei													CR							
Cynorkis catatii													CR							
Cynorkis schlechterii													CR							
Cryptopus dissectus													CR							
Cynorkis muscicola													CR							
Disperis bosseri													CR							
Cynorkis pseudorolfei													CR							
Cynorkis ambondrombensis													CR							
Eulophia nervosa									CR											
Cynorkis sylvatica													CR							
Cynorkis souegesii													CR							
Eulophia mangenotiana													CR							
Eulophia grandidieri													CR							
Graphorkis medemiae													CR							
Cynorkis pinguicularioides													CR							
Cynorkis bimaculata													CR							
Disperis ciliata													CR							
Cynorkis henrici													CR							
Cynorkis purpurea											LC									
Asparagus chimanimanensis									LC											
Sansevieria pedicellata								LC												
Dierama plowesii									VU											
Hesperantha ballii	R								LC											
Bulbophyllum ballii											LC									
Disa chimanimaniensis											LC									
Neobolusia ciliata											EN									
Oligophyton drummondii											LC									
Polystachya subumbellata											LC									
Polystachya valentina											LC									
Satyrium flavum											LC									
Schizochilus lepidus											VU									
Aloe ballii var. ballii									VU											
Aloe ballii var. makurupiniensis									VU											
Aloe hazeliana									LC											
Aloe hazeliana var. hazeliana									LC											
Aloe hazeliana var. howmanii									LC											
Aloe munchii							LC		LC											
Aloe musapana									VU											I
Aloe plowesii									VU											
Aloe rhodesiana									VU											
Gladiolus horombensis									NT											
Gladiolus bojeri									NT											
Aristea kitchingii									NT											
Benthamia glaberrima													NT							
Dracaena reflexa								LC												
Narcissus willkommii											EN									
Aerangis hyaloides								VU												
Aeranthes albidiflora													CR							
Angraecum bicallosum								EN												
Bulbophyllum sanguineum													CR							
Bulbophyllum minax													CR							
Angraecum potamophilum													CR							
Benthamia nigro-vaginata													CR							
Aerangis monantha								EN												
Bulbophyllum tampoketsense													CR							
Angraecum palmicolum													CR							
Bulbophyllum calyptropus								VU												
Angraecum ankeranense								EN												
Aeranthes leandriana													CR							
Angraecum rigidifolium													CR							
Angraecum alleizettei								EN												
Angraecum perhumile													CR							
Benthamia dauphinensis													CR							
Angraecum muscicolum													CR							
Bulbophyllum erythroglossum													CR							
Bulbophyllum bryophilum								EN												
Angraecum peyrotii													CR							
Aeranthes multinodis													CR							
Angraecum triangulifolium								EN												
Angraecum rubellum													CR							
Bulbophyllum hirsutiusculum													CR							
Angraecum sterrophyllum													CR							
Angraecum serpens													CR							
Benthamia catatiana									CR											
Angraecum mahavavense													CR							
Iris sofarana						EN														
Aristea angustifolia									VU											
Angraecum danguyanum								VU												
Benthamia nivea													EN							
Aloe ibitiensis							NT													
Gladiolus andringitrae									VU											
Benthamia nigrescens													EN							
Bulbophyllum rubrum													VU							
Benthamia perularioides													VU							
Angraecum obesum													EN							
Cynorkis quinqueloba													EN							
Crinum malabaricum						CR														
Bulbophyllum anjozorobeense													EN							
Bulbophyllum callosum								EN												
Angraecum cornucopiae													EN							
Angraecum amplexicaule													EN							
Angraecum humbertii													EN							
Bulbophyllum jumelleanum													EN							
Aeranthes ecalcarata													LC							
Gladiolus antandroyi									EN											
Aristea cladocarpa									LC											
Aeranthes setipes													EN							
Benthamia rostrata													EN							
Bulbophyllum sulfureum								EN												
Bulbophyllum moratii													CR							
Bulbophyllum kainochiloides													EN							
Bulbophyllum baronii													LC							
Bulbophyllum cardiobulbum								EN												
Aerangis pallidiflora								VU												
Aeranthes neoperrieri													EN							
